id,nom,parti,sigle,defaut,patronyme,prenom,id_photo
1,"Anne Hidalgo","Parti socialiste ",PS,1,Hidalgo,Anne,id_1
2,"Nicolas Dupont-Aignan","Debout la France ",DLF,1,Dupont-Aignan,Nicolas,id_2
3,"Marine Le Pen","Rassemblement national ",RN,1,"Le Pen",Marine,id_3
4,"Yannick Jadot","EE-LV ",EELV,1,Jadot,Yannick,id_4
5,"Valérie Pécresse","Les Républicains ",LR,1,Pécresse,Valérie,id_5
6,"Fabien Roussel","Parti communiste ",PCF,1,Roussel,Fabien,id_6
7,"Eric Zemmour"," ",,1,Zemmour,Eric,id_7
8,"Nathalie Arthaud","Lutte ouvrière ",LO,1,Arthaud,Nathalie,id_8
9,"Arnaud Montebourg"," ",,1,Montebourg,Arnaud,id_9
10,"Philippe Poutou","NPA ",NPA,1,Poutou,Philippe,id_10
11,"Jean-Luc Mélenchon","France insoumise ",LFI,1,Mélenchon,Jean-Luc,id_11
12,"Emmanuel Macron","LRM ",LREM,1,Macron,Emmanuel,id_12
13,"Xavier Bertrand","Les Républicains ",LR,0,Bertrand,Xavier,id_13
14,"Michel Barnier","Les Républicains ",LR,0,Barnier,Michel,id_14
15,"Jean Lassalle","Résistons ",,1,Lassalle,Jean,id_15
16,"François Asselineau","UPR ",UPR,1,Asselineau,François,id_17
17,"Florian Philippot","Les Patriotes ",LP,1,Philippot,Florian,id_16
18,"Hélène Thouy","Parti animaliste ",PA,1,Thouy,Hélène,id_34
19,"Jean-Christophe Lagarde","UDI ",UDI,0,Lagarde,Jean-Christophe,id_18
20,"Jean-Frédéric Poisson","PCD ",PCD,1,Poisson,Jean-Frédéric,id_19
21,"Sandrine Rousseau","EE-LV ",EELV,-1,Rousseau,Sandrine,id_20
22,"Laurent Wauquiez","Les Républicains ",LR,0,Wauquiez,Laurent,id_21
23,"Christiane Taubira"," ",,,Taubira,Christiane,
24,"François Baroin","Les Républicains ",LR,-1,Baroin,François,id_22
25,"Rachida Dati","Les Républicains ",LR,-1,Dati,Rachida,id_23
26,"Olivier Faure","Parti socialiste ",PS,-1,Faure,Olivier,id_24
27,"Ségolène Royal","Parti socialiste ",PS,-1,Royal,Ségolène,id_25
28,"Bruno Retailleau","Les Républicains ",LR,-1,Retailleau,Bruno,id_26
29,"François Hollande","Parti socialiste ",PS,-1,Hollande,François,id_27
30,,"« ext. gauche » ",,,,,
31,"Eric Piolle","EE-LV ",EELV,-1,Piolle,Eric,id_29
32,"Eric Ciotti","Les Républicains ",LR,0,Ciotti,Eric,id_30
33,"Philippe Juvin","Les Républicains ",LR,0,Juvin,Philippe,id_31
34,"Denis Payre","Les Républicains ",LR,-1,Payre,Denis,id_32
35,"Jacques Cheminade","Solidarité et progrès ",SP,1,Cheminade,Jacques,id_33
