id,nom,id_sondage,tour,sous_echantillon
1,"Hypothèse Pécresse / Zemmour",1,1,838.35
2,"Hypothèse Bertrand",1,1,838.35
3,"Hypothèse Barnier / Zemmour",1,1,859.05
4,"Hypothèse Bertrand / Zemmour",1,1,859.05
5,"Hypothèse Pécresse / Zemmour",2,1,685.224
6,"Hypothèse Bertrand / Zemmour",2,1,700.881
7,"Hypothèse Barnier",3,1,3426.783
8,"Hypothèse Pécresse",3,1,3431.286
9,"Hypothèse Bertrand",3,1,3431.286
10,"Hypothèse Bertrand / Zemmour",4,1,8808.08
11,"Hypothèse Pécresse",4,1,8472.99
12,"Hypothèse Barnier / Zemmour",4,1,8712.34
13,"Hypothèse Bertrand",4,1,8568.73
14,"Hypothèse Pécresse / Zemmour",4,1,8760.21
15,"Hypothèse Barnier",4,1,8472.99
16,"Hypothèse Pécresse",5,1,902.7
17,"Hypothèse Barnier",5,1,892.08
18,"Hypothèse Bertrand",5,1,902.7
19,"Hypothèse Bertrand sans Zemmour",6,1,872.33
20,"Hypothèse Barnier sans Zemmour",6,1,861.82
21,"Hypothèse Pécresse sans Zemmour",6,1,872.33
22,"Hypothèse Bertrand / Zemmour",6,1,893.35
23,"Hypothèse Pécresse / Zemmour",6,1,882.84
24,"Hypothèse Barnier / Zemmour",6,1,872.33
25,"Hypothèse Pécresse",7,1,1498.98
26,"Hypothèse Bertrand",7,1,1517.04
27,"Hypothèse Rousseau / Bertrand",8,1,858.48
28,"Hypothèse Jadot / Pécresse",8,1,838.04
29,"Hypothèse Jadot / Bertrand",8,1,868.7
30,"Hypothèse Bertrand et Hidalgo",9,1,931.889
31,"Hypothèse Wauquiez",9,1,934.563
32,"Hypothèse Pécresse",9,1,929.215
33,"Hypothèse Bertrand et Jadot",9,1,929.215
34,"Hypothèse Bertrand",9,1,949.27
35,"Hypothèse Pécresse / Zemmour",10,1,873.16
36,"Hypothèse Barnier / Zemmour",10,1,873.16
37,"Hypothèse Bertrand",10,1,852.12
38,"Hypothèse Pécresse",10,1,852.12
39,"Hypothèse Bertrand / Zemmour",10,1,883.68
40,"Hypothèse Barnier",10,1,852.12
41,"Hypothèse Pécresse",11,1,774.2
42,"Hypothèse Barnier",11,1,774.2
43,"Hypothèse Bertrand",11,1,784
44,"Hypothèse Bertrand / Zemmour",11,1,793.8
45,"Hypothèse X. Bertrand",12,1,1006
46,"Hypothèse F. Baroin",12,1,1006
47,"Hypothèse Dati",13,1,1062.888
48,"Hypothèse Royal",13,1,1119.168
49,"Hypothèse Retailleau",13,1,1035.552
50,"Hypothèse UG-Mélenchon",13,1,1056.456
51,"Hypothèse UG-Hidalgo",13,1,1069.32
52,"Hypothèse Pécresse",13,1,1061.28
53,"Hypothèse Hollande",13,1,1114.344
54,"Hypothèse UG-Jadot",13,1,1043.592
55,"Hypothèse Baroin",13,1,1077.36
56,"Hypothèse Bertrand",13,1,1096.656
57,"Hypothèse Hidalgo",13,1,1104.696
58,,14,1,626.195
59,"Hypothèse Bertrand / Zemmour",15,1,1177.74
60,"Hypothèse Pécresse / Zemmour",15,1,1192.28
61,"Hypothèse Bertrand sans Zemmour",15,1,1163.2
62,"Hypothèse Barnier / Zemmour",15,1,1177.74
63,"Hypothèse M. Barnier",16,1,841.68
64,"Hypothèse X. Bertrand",16,1,841.68
65,"Hypothèse Jadot-Hidalgo",17,1,637.5
66,"Hypothèse Jadot-Montebourg",17,1,637.5
67,"Hypothèse Jadot-Montebourg-Hidalgo",17,1,637.5
